Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Troy Brown,SG,20,WAS,20,11,442,60,133,.451,9,36,.250,51,97,.526,.485,19,25,.760,27,77,104,44,28,3,20,30,148
Jalen Brunson,PG,23,DAL,24,3,375,71,143,.497,15,46,.326,56,97,.577,.549,22,31,.710,13,42,55,63,11,0,21,28,179
Thomas Bryant,C,22,WAS,18,18,511,101,184,.549,10,35,.286,91,149,.611,.576,39,53,.736,42,111,153,48,8,18,24,44,251
Trey Burke,PG,27,PHI,9,0,152,25,58,.431,6,16,.375,19,42,.452,.483,8,11,.727,6,7,13,31,7,1,4,7,64
Alec Burks,SG,28,GSW,23,10,676,116,276,.420,33,94,.351,83,182,.456,.480,85,95,.895,16,88,104,67,26,6,34,50,350
Deonte Burton,SG,26,OKC,12,0,101,13,33,.394,5,17,.294,8,16,.500,.470,3,4,.750,3,18,21,4,1,1,4,11,34
Jimmy Butler,SF,30,MIA,20,20,702,119,275,.433,21,69,.304,98,206,.476,.471,153,185,.827,41,96,137,139,42,15,52,27,412
Bruno Caboclo,SF,24,MEM,15,0,160,26,59,.441,4,20,.200,22,39,.564,.475,2,3,.667,14,21,35,8,7,11,7,17,58
Kentavious Caldwell-Pope,SG,26,LAL,25,15,607,77,170,.453,31,78,.397,46,92,.500,.544,21,25,.840,11,40,51,42,21,4,22,42,206
Vlatko Čančar,SF,22,DEN,1,0,2,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0
Clint Capela,C,25,HOU,20,20,658,127,195,.651,0,0,NA,127,195,.651,.651,28,60,.467,87,207,294,20,17,38,34,56,282
DeMarre Carroll,SF,33,SAS,11,0,120,7,25,.280,3,12,.250,4,13,.308,.340,10,14,.714,7,22,29,10,2,2,9,17,27
Jevon Carter,PG,24,PHO,16,2,225,22,55,.400,14,34,.412,8,21,.381,.527,4,4,1.000,3,24,27,28,13,5,15,24,62
Vince Carter,SF,43,ATL,20,0,314,43,117,.368,23,79,.291,20,38,.526,.466,7,10,.700,4,36,40,18,7,6,14,33,116
Wendell Carter,C,20,CHI,26,26,771,122,214,.570,2,15,.133,120,199,.603,.575,70,99,.707,91,165,256,25,18,20,38,106,316
Michael Carter-Williams,SG,28,ORL,14,0,218,20,63,.317,4,21,.190,16,42,.381,.349,19,27,.704,14,30,44,28,13,7,14,21,63
Alex Caruso,PG,25,LAL,23,0,482,50,111,.450,18,48,.375,32,63,.508,.532,14,22,.636,4,47,51,43,25,7,25,36,132
Willie Cauley-Stein,C,26,GSW,23,22,515,81,147,.551,0,0,NA,81,147,.551,.551,22,33,.667,35,114,149,35,23,30,21,65,184
Tyson Chandler,C,37,HOU,18,4,163,13,17,.765,0,0,NA,13,17,.765,.765,5,9,.556,19,30,49,6,5,7,6,24,31
Zylan Cheatham,SF,24,NOP,2,0,20,1,4,.250,0,1,.000,1,3,.333,.250,0,0,NA,0,3,3,1,0,0,1,3,2
Chris Chiozza,PG,24,WAS,9,0,104,7,28,.250,5,11,.455,2,17,.118,.339,0,0,NA,0,11,11,26,8,2,7,10,19
Marquese Chriss,PF,22,GSW,25,1,449,65,137,.474,4,20,.200,61,117,.521,.489,47,56,.839,39,83,122,48,18,25,36,50,181
Gary Clark,PF,25,HOU,9,0,104,12,30,.400,9,25,.360,3,5,.600,.550,2,2,1.000,6,15,21,5,1,3,1,9,35
Brandon Clarke,PF,23,MEM,19,2,403,97,152,.638,12,24,.500,85,128,.664,.678,22,28,.786,24,89,113,23,9,19,20,33,228
Jordan Clarkson,SG,27,CLE,25,0,570,121,284,.426,48,138,.348,73,146,.500,.511,68,76,.895,18,41,59,63,14,7,36,30,358
Nicolas Claxton,PF,20,BRK,9,0,119,11,21,.524,0,5,.000,11,16,.688,.524,5,12,.417,8,14,22,11,1,5,6,10,27
Chris Clemons,SG,22,HOU,17,0,143,26,62,.419,19,49,.388,7,13,.538,.573,3,4,.750,2,8,10,6,3,2,6,14,74
John Collins,PF,22,ATL,5,5,161,32,61,.525,9,19,.474,23,42,.548,.598,12,17,.706,10,34,44,8,5,10,7,17,85
Zach Collins,PF,22,POR,3,3,86,9,19,.474,3,7,.429,6,12,.500,.553,6,6,1.000,4,8,12,6,0,2,6,11,27
