Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Michael Carter-Williams,SG,28,ORL,13,0,197,18,57,.316,3,19,.158,15,38,.395,.342,19,23,.826,14,28,42,22,12,6,13,19,58
Alex Caruso,PG,25,LAL,22,0,454,48,107,.449,16,46,.348,32,61,.525,.523,13,20,.650,3,42,45,44,24,7,23,36,125
Willie Cauley-Stein,C,26,GSW,22,21,493,78,140,.557,0,0,NA,78,140,.557,.557,21,31,.677,33,111,144,35,23,27,21,63,177
Tyson Chandler,C,37,HOU,18,4,163,13,17,.765,0,0,NA,13,17,.765,.765,5,9,.556,19,30,49,6,5,7,6,24,31
Zylan Cheatham,SF,24,NOP,2,0,20,1,4,.250,0,1,.000,1,3,.333,.250,0,0,NA,0,3,3,1,0,0,1,3,2
Chris Chiozza,PG,24,WAS,9,0,104,7,28,.250,5,11,.455,2,17,.118,.339,0,0,NA,0,11,11,26,8,2,7,10,19
Marquese Chriss,PF,22,GSW,24,1,425,61,129,.473,4,19,.211,57,110,.518,.488,43,50,.860,33,79,112,46,17,22,35,48,169
Gary Clark,PF,25,HOU,8,0,93,11,28,.393,8,23,.348,3,5,.600,.536,2,2,1.000,6,14,20,5,1,3,1,9,32
Brandon Clarke,PF,23,MEM,18,2,381,92,146,.630,10,22,.455,82,124,.661,.664,19,23,.826,24,82,106,23,9,17,19,31,213
Jordan Clarkson,SG,27,CLE,23,0,510,104,250,.416,41,118,.347,63,132,.477,.498,67,75,.893,14,37,51,56,12,6,32,26,316
Nicolas Claxton,PF,20,BRK,9,0,119,11,21,.524,0,5,.000,11,16,.688,.524,5,12,.417,8,14,22,11,1,5,6,10,27
Chris Clemons,SG,22,HOU,16,0,134,24,59,.407,18,47,.383,6,12,.500,.559,3,4,.750,2,8,10,6,3,2,6,14,69
John Collins,PF,22,ATL,5,5,161,32,61,.525,9,19,.474,23,42,.548,.598,12,17,.706,10,34,44,8,5,10,7,17,85
Zach Collins,PF,22,POR,3,3,86,9,19,.474,3,7,.429,6,12,.500,.553,6,6,1.000,4,8,12,6,0,2,6,11,27
Mike Conley,PG,32,UTA,21,21,628,97,263,.369,40,107,.374,57,156,.365,.445,58,73,.795,16,57,73,96,15,4,44,45,292
Pat Connaughton,SG,27,MIL,22,0,393,47,96,.490,18,54,.333,29,42,.690,.583,13,17,.765,11,78,89,42,8,11,13,23,125
Quinn Cook,PG,26,LAL,20,0,267,42,98,.429,12,35,.343,30,63,.476,.490,4,5,.800,4,19,23,30,6,1,16,12,100
Tyler Cook,PF,22,CLE,6,0,17,5,6,.833,0,0,NA,5,6,.833,.833,2,2,1.000,3,2,5,0,1,0,1,1,12
Robert Covington,PF,29,MIN,22,22,611,92,202,.455,45,122,.369,47,80,.588,.567,46,51,.902,17,99,116,24,29,19,34,66,275
Allen Crabbe,SG,27,ATL,12,1,234,26,65,.400,12,40,.300,14,25,.560,.492,7,9,.778,5,25,30,12,8,3,5,11,71
Torrey Craig,SF,29,DEN,15,2,200,16,43,.372,4,20,.200,12,23,.522,.419,4,9,.444,9,26,35,15,5,12,6,28,40
