Player,Control,Defense,Impact,Offense,Scoring
Chris Chiozza,3.4285714285714284,106.42472458021514,0.004683576314657,80.82743811553237,0.3342483878755171
Marquese Chriss,1.3142857142857143,104.16160252605317,0.040589551145035305,107.2269588875405,0.5027393153286795
Gary Clark,5.0,109.0630630592538,0.006495783358598879,126.15722385928714,0.48164157186957024
Brandon Clarke,1.2105263157894737,107.27670954026286,0.054689958654773184,124.73372250898774,0.5850022588898873
Jordan Clarkson,1.75,115.53805802119176,0.05310842299460105,111.40618120935704,0.4746293693151951
Nicolas Claxton,1.8333333333333333,111.07861140207856,0.005989766589488439,106.32424288016504,0.5275126668863215
Chris Clemons,1.0,111.26826204609469,0.0070462734737343794,108.83595617416887,0.4083908616784445
John Collins,1.1428571428571428,105.46388589280704,0.01996256827449429,119.34345163117322,0.5387708361868884
Zach Collins,1.0,111.81505256716045,0.003846277397993402,111.95043986130794,0.47607078381176077
Mike Conley,2.1818181818181817,111.51557040805395,0.04619518804412143,101.51020523841726,0.43714064019081245
Pat Connaughton,3.230769230769231,105.3172925005863,0.03536410978375443,123.99876103807979,0.5333765001624028
Quinn Cook,1.875,112.96574919892113,0.015068589049708201,97.69055003911102,0.43035961695093056
Tyler Cook,0.0,110.87663436041015,0.0032738068969274618,153.99431142100346,0.7246826406147024
Robert Covington,0.7058823529411765,106.0730020608215,0.05185620552031436,112.29810808715568,0.4629371597179968
Allen Crabbe,2.0,111.32971462122156,0.012714254793874336,101.59854686404822,0.42766909794475444
Torrey Craig,3.0,114.53022520037372,0.006657238573550957,94.0926111079692,0.4285061207628432
Jae Crowder,1.9375,109.83103648573544,0.05480413393380196,104.41648132207787,0.4304680425457709
Jarrett Culver,1.7419354838709677,109.29537300063463,0.02660448804955258,93.66737117636139,0.42698580272806663
Seth Curry,2.125,113.0941790238352,0.02678602912197667,119.35630274108289,0.4813736391096374
Stephen Curry,1.7333333333333334,106.85284589900755,0.015066481588461855,105.67513736971567,0.4504660664587808
Troy Daniels,1.1666666666666667,112.23754012851022,0.011119579505646739,99.21612971244467,0.37937881922778677
Anthony Davis,1.4423076923076923,103.03082645634274,0.12688791192892215,121.45832282637124,0.5629976730483368
Ed Davis,0.5555555555555556,103.25849016467478,0.0069292782066182135,92.70527225627757,0.4482494310838432
Terence Davis,2.388888888888889,111.42777741540779,0.032372273727420145,120.5702826127117,0.4994881598167299
Dewayne Dedmon,0.25806451612903225,110.66035700693875,0.01218731020224963,86.11082798783025,0.38150619868735947
Matthew Dellavedova,3.066666666666667,114.87653590689187,0.009578916476195166,89.21595435909813,0.39537710135289383
DeMar DeRozan,1.88135593220339,110.50162777132259,0.09338059587543503,111.31223195814559,0.5367646333934035
Cheick Diallo,1.125,109.29090682807288,0.02375581846300748,135.90710817432827,0.6460590995848879
Hamidou Diallo,0.7142857142857143,108.2722595221065,0.017707706716462913,99.63755893851838,0.4871532778948175
Gorgui Dieng,1.5384615384615385,99.59863071984368,0.025026255707629966,105.39010117009204,0.47566201555961835
Spencer Dinwiddie,2.2903225806451615,111.08590847944942,0.07549366192034482,111.8287604347164,0.49485962345046136
Donte DiVincenzo,1.391304347826087,102.1955244686662,0.0354651500974223,107.32114424977402,0.45862931269412616
Luka Dončić,2.0095238095238095,107.05544046507387,0.14838609783444218,119.83241928366532,0.5272374774985461
Luguentz Dort,0.0,115.45922497678727,-0.0006810656429408813,73.95653852622345,0.3829324255692832
Damyean Dotson,1.7272727272727273,115.67890058899589,0.020551217190776877,103.88736581500595,0.4378322070988434
Sekou Doumbouya,0.0,112.72423250350299,0.00022233096635887472,88.9968331846385,0.4449841659231925
Goran Dragić,1.9148936170212767,114.1355685293177,0.05219969789324885,110.67625611732367,0.4836764193317492
Andre Drummond,0.8275862068965517,99.59522701777843,0.11783541217020357,106.64557432533998,0.5210177430187235
Jared Dudley,4.5,108.85727227323191,0.005507829100927824,141.6182550632647,0.5347082756504123
Kris Dunn,2.8076923076923075,102.93267601707721,0.034077437928929935,101.0197619287719,0.46299562073633527
